Date,Requester,Artist,Album,,Riley,Sky,Alex,Harry,Jose,Thomas,Manny,Drew,Average,Median,,Favorite,Riley,Sky,Alex,Harry,Jose,Thomas,Manny,Drew,,Worst,Riley,Sky,Alex,Harry,Jose,Thomas,Manny,Drew,,
9/1/2024,Alex,Lynyrd Skynyrd,Pronounced' Leh-'Nerd 'Skin-'Nerd,,87,,94,90,82,92,84,87,88.00,87.00,,,Freebird,,Freebird,Freebird,Freebird,Freebird,Mississippi Kid,Freebird,,,Poison Whiskey,,Poison Whiskey,Tuesday's Gone,Things Goin'On,Things Goin'On,Poison Whiskey,Simple Man,,
9/8/2024,Harry,The Beatles,Revolver,,90,,83,98,68,84,82,,84.17,83.50,,,"Here,There And Everywhere",,"Here,There And Everywhere",Taxman,Yellow Submarine,Eleanor Rigsby,Yellow Submarine,,,,Love You To,,Love You To,Love You To,Love You To,Love You To,Love You To,,,
9/15/2024,Jose,Bryson Tiller,T R A P S O U L,,65,,65,62,72,45,62,,61.83,63.50,,,Exchange,,Rambo,Don't,Exchange,Exchange,Don't,,,,Been That Way,,Overtime,Ten Nine Fourteen,Overtime,Ten Nine Fourteen,Overtime,,,
9/22/2024,Thomas,Lil Wayne,Tha Carter IV,,62,,90,69,83,88,84,,79.33,83.50,,,Nightmares Of The Bottom,,6 Foot 7 Foot,How To Love,How To Love,6 Foot 7 Foot,Interlude,,,,Blunt Blowin,,Abortion,How To Hate,It's Good,Abortion,She Will,,,
9/22/2024,Manny,Nujabes,Modal Soul,,84,,64,,63,,88,,74.75,74.00,,,Feather,,Feather,,Feather,,ordinary joe,,,,ordinary joe,,ordinary joe,,ordinary joe,,Light on the land,,,
10/6/2024,Riley,jeremy messersmith,The Reluctant Graveyard,,89,,76,99,93,90,73,79,85.57,89.00,,,"A Girl, a Boy, and a Graveyard",,"A Girl, a Boy, and a Graveyard",Dillinger Eyes,Deathbed Salesman,"A Girl, a Boy, and a Graveyard",Repo Man,"Toussaint Grey, First in Life and Death",,,Knots,,"Toussaint Grey, First in Life and Death",John the Determinist,Dillinger Eyes,Tomorrow,John the Determinist,John the Determinist,,
10/13/2024,Alex,Rage Against The Machine,Rage Against The Machine,,58,,83,67,60,68,77,80,70.43,68.00,,,Killing In the Name,,Killing In the Name,Killing In the Name,Killing In the Name,Killing In the Name,Killing In the Name,Killing In the Name,,,Settle for Nothing,,Settle for Nothing,Settle for Nothing,Settle for Nothing,Fistful of Steel,Settle for Nothing,Settle for Nothing,,
10/20/2024,Harry,Electric Light Orchestra,Discovery,,86,,75,85,74,78,74,72,77.71,75.00,,,Don't Bring Me Down,,Don't Bring Me Down,Don't Bring Me Down,Don't Bring Me Down,Don't Bring Me Down,The Diary of Horase Wimp ,Confusion,,,The Diary of Horase Wimp ,,The Diary of Horase Wimp ,Midnight Blue,Midnight Blue,The Diary of Horase Wimp ,Midnight Blue,The Diary of Horase Wimp ,,
10/27/2024,Jose,Ms. Lauryn Hill,The Miseducation of Lauryn Hill,,85,,91,70,97,80,68,99,84.29,85.00,,,Ex-Factor,,Ex-Factor,,Ex-Factor,Can't Take My Eyes Off of You,Doo Wop (That Thing),"Every Ghetto, Every City",,,Lost ones,,The Miseducation of Lauren Hill,,The Miseducation of Lauren Hill,Nothing Even Matters,The Miseducation of Lauren Hill,The Miseducation of Lauren Hill,,
11/3/2024,Thomas,Miguel,War and Leisure,,72,,65,67,71,69,82,66,70.29,69.00,,,Come Through and Chill,,Come Through and Chill,Caramelo Duro,Wolf,Come Through and Chill,Caramelo Duro,Banana Clip,,,Criminal,,Annointed,,City of Angels,Criminal,Annointed,Criminal,,
11/10/2024,Manny,Frank Zappa,Apostrophe ('),,81,,77,67,69,71,92,80,76.71,77.00,,,Don't Eat The Yellow Snow,,Apostophre',Uncle Remus,St. Alfonzo's Pancake Breakfast,Apostophre',Uncle Remus,Uncle Remus,,,Excentrifugal Forz,,Excentrifugal Forz,Stink Foot,Stink-Foot,St. Alfonzo's Pancake Breakfast,Stink-Foot,Excentrifugal Forz,,
11/17/2024,Drew,Jeff Buckley,Grace,,88,,68,80,91,65,73,98,80.43,80.00,,,"Lover, You Should've Come Over",,Eternal Life,Hallelujah,Mojo Pin,Hallelujah,Mojo Pin,"Lover, You Should've Come Over",,,Eternal Life,,Corpus Christi Carol,Eternal Life,Corpus Christi Carol,Grace,Corpus Christi Carol,So Real,,
11/24/2024,Riley,James Taylor,Sweet Baby James,,93,,,74,44,,,,,,,,Sweet Baby James,,,Fire and Rain,Oh Baby Don't You Lose Your Lip On Me,,,,,,,,,,Lo and Behold,,,,,
12/1/2024,Alex,Cage the Elephant,Cage the Elephant,,89,,85,68,73,,82,57,75.67,77.50,,,Ain't No Rest For The Wicked,,Ain't No Rest For The Wicked,Ain't No Rest For The Wicked,Ain't No Rest For The Wicked,,Tiny Little Robots,Back Against The Wall,,,Free Love,,James Brown,Free Love,Cover Me Again,,Lotus,Ain't No Rest For The Wicked,,
12/8/2024,Jose,Sonny Boy Williamson II,More Real Folk Blues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
